network,[21:53:80:445:8080:25:23:7547:8888:2323:110:995:465:443:993:22:143:587],135522
infrastructure router,[21:53:80:445:8080:25:23:7547:8888:2323:110:995:465:443:993:22:143],43909
soho router,[110:143:21:22:23:25:443:445:465:53:7547:80:8080:8888:993:995],10268
camera,[110:143:21:22:23:25:443:445:465:53:587:7547:80:8080:8888:993:995],9491
DSL/cable modem,[110:143:21:22:23:2323:25:443:465:502:53:587:7547:80:8080:8888:993:995],3356
nas,[110:143:21:22:23:2323:25:443:445:465:502:53:587:7547:80:8080:8888:993:995],2537
IPMI,[110:143:21:22:23:25:443:465:53:587:80:8080:993:995],1135
printer,[110:143:21:22:23:25:443:445:465:53:587:7547:80:8080:8888:993:995],931
firewall,[110:143:21:22:23:25:443:465:502:53:587:80:8080:8888],667
DSL modem,[21:22:23:443:53:80:8080:8888],298
power distribution unit,[21:22:23:443:80:8080:8888],242
DVR,[443:445:80:8080],182
kvm,[22:443:80:8080],50
environment monitor,[143:80],24
solar panel,[21:502:80],13
scada server,[443:47808:80],10
switch,[22:80:8080],9
scada router,[443:47808:80],9
cable modem,[21:80],8
set-top box,[21:80:8080],6
wireless modem,[443:80],6
scada controller,[1911:443:80],3
scada gateway,[502:8080],2
None,],0
